timestamp,study,effect,count,settle_ms,phase_ms,idle1_fps_avg,idle1_fps_min,idle1_fps_max,idle1_frames,hover_fps_avg,hover_fps_min,hover_fps_max,hover_frames,idle2_fps_avg,idle2_fps_min,idle2_fps_max,idle2_frames
2026-07-19T13:59:46.110Z,dom-canvas-shaders,dom,500,600,1000,75,70.42,80,75,74.97,71.94,78.13,75,75,69.93,80.65,75
2026-07-19T13:59:49.873Z,dom-canvas-shaders,dom,3000,600,1000,74.98,71.43,78.74,75,73.99,37.45,80.65,73,74.99,70.42,80.65,75
2026-07-19T13:59:55.115Z,dom-canvas-shaders,dom,8000,600,1000,73.74,25,75.76,71,22.73,14.88,37.45,21,73.04,25,81.3,69
2026-07-19T14:00:54.491Z,dom-canvas-shaders,canvas,500,600,1000,75.02,69.93,81.3,75,75.05,69.44,81.3,75,75.12,69.44,81.3,75
2026-07-19T14:00:58.174Z,dom-canvas-shaders,canvas,3000,600,1000,75.05,69.93,81.3,75,75.04,69.44,81.97,75,74.91,69.93,75.76,75
2026-07-19T14:01:01.857Z,dom-canvas-shaders,canvas,8000,600,1000,75.1,69.44,81.97,75,75.24,69.44,81.3,75,75.04,69.93,81.3,75
2026-07-19T14:01:05.548Z,dom-canvas-shaders,canvas,30000,600,1000,65.1,24.33,80.65,57,62.79,36.1,81.3,55,63.82,36.1,81.3,57
2026-07-19T14:01:09.270Z,dom-canvas-shaders,canvas,50000,600,1000,34.83,24.39,39.06,33,34.5,24.45,38.91,33,35.49,18.73,38.91,34
2026-07-19T14:01:52.950Z,dom-canvas-shaders,shaders,500,600,1000,75.04,69.93,81.3,75,75.08,69.93,81.3,75,75.08,69.44,81.3,75
2026-07-19T14:01:56.632Z,dom-canvas-shaders,shaders,8000,600,1000,74.99,69.44,81.3,75,75.08,69.44,81.3,75,75.06,69.93,81.3,75
2026-07-19T14:02:00.313Z,dom-canvas-shaders,shaders,30000,600,1000,75.01,70.42,80,75,75.06,69.93,80.65,75,75.03,69.93,80.65,75
2026-07-19T14:02:03.994Z,dom-canvas-shaders,shaders,50000,600,1000,75.2,69.44,81.3,75,75.07,69.93,81.3,75,75.08,69.44,81.3,75
2026-07-19T14:02:07.676Z,dom-canvas-shaders,shaders,100000,600,1000,75.05,69.44,81.3,75,74.97,69.93,80.65,75,75.05,69.44,81.3,75
2026-07-19T14:02:11.410Z,dom-canvas-shaders,shaders,500000,600,1000,75,69.44,81.3,75,75.03,69.93,81.3,75,75.01,69.44,81.3,75
2026-07-19T14:02:15.234Z,dom-canvas-shaders,shaders,1000000,600,1000,48.79,36.36,79.37,44,47.7,36.23,78.13,44,48.82,36.5,79.37,44
2026-07-19T14:02:54.065Z,shader-optimization,branching,20000,600,1000,75.01,69.93,80.65,75,75.06,69.44,81.3,75,75.02,69.44,81.3,75
2026-07-19T14:02:57.746Z,shader-optimization,branching,100000,600,1000,74.99,69.44,81.3,75,75.05,69.44,81.3,75,75.02,69.93,80.65,75
2026-07-19T14:03:01.510Z,shader-optimization,branching,500000,600,1000,68.49,37.45,79.37,64,67.2,36.63,80.65,63,67.89,36.9,79.37,64
2026-07-19T14:03:05.364Z,shader-optimization,branching,1000000,600,1000,35.32,24.94,39.06,35,34.93,24.51,38.91,34,34.94,24.39,38.91,34
2026-07-19T14:03:16.540Z,shader-optimization,branchless,20000,600,1000,75.08,69.44,81.3,75,75.19,69.93,81.3,75,75.07,69.44,81.3,75
2026-07-19T14:03:20.221Z,shader-optimization,branchless,100000,600,1000,74.99,69.44,81.3,75,75.06,69.44,81.3,75,75.01,69.44,81.3,75
2026-07-19T14:03:23.956Z,shader-optimization,branchless,500000,600,1000,75,69.44,80.65,75,75.01,69.44,81.3,75,75.04,69.93,80.65,75
2026-07-19T14:03:27.782Z,shader-optimization,branchless,1000000,600,1000,54.91,37.45,75.76,49,52.89,36.23,81.3,47,55.06,36.5,78.74,49
